name,food_subgroup
Angelica,Herbs
Silver linden,Herbs
Garlic,Herbs
Chives,Herbs
Lemon verbena,Herbs
Cashew nut,Nuts
Dill,Herbs
Wild celery,Spices
Peanut,Nuts
Horseradish,Spices
Tarragon,Herbs
Mugwort,Herbs
Brazil nut,Nuts
Turnip,Herbs
Capers,Spices
Caraway,Spices
Pecan nut,Nuts
Chestnut,Nuts
Roman camomile,Herbs
Chinese cinnamon,Spices
Ceylon cinnamon,Spices
Coriander,Herbs
Common hazelnut,Nuts
Saffron,Spices
Cumin,Spices
Turmeric,Spices
Lemon grass,Herbs
Cardamom,Spices
Fennel,Herbs
Hyssop,Herbs
Star anise,Spices
Black walnut,Nuts
Common walnut,Nuts
Sweet bay,Herbs
Lovage,Herbs
Mexican oregano,Herbs
German camomile,Herbs
Lemon balm,Herbs
Mentha (Mint),Herbs
Orange mint,Herbs
Cornmint,Herbs
Spearmint,Herbs
Peppermint,Herbs
Nutmeg,Spices
Sweet basil,Herbs
Sweet marjoram,Herbs
Pot marjoram,Herbs
Common oregano,Herbs
Parsley,Herbs
Anise,Herbs
Pine nut,Nuts
Pepper (Spice),Spices
Pistachio,Nuts
Purslane,Herbs
Almond,Nuts
Watercress,Herbs
Rosemary,Herbs
Sorrel,Herbs
Common sage,Herbs
Summer savory,Herbs
Winter savory,Herbs
Cloves,Spices
Dandelion,Herbs
Common thyme,Herbs
Linden,Herbs
Small-leaf linden,Herbs
Fenugreek,Herbs
Vanilla,Spices
Common verbena,Herbs
Ginger,Spices
Chinese chives,Herbs
Ginseng,Spices
Macadamia nut (M. tetraphylla),Nuts
Lemon thyme,Herbs
Japanese walnut,Nuts
Welsh onion,Herbs
Celery leaves,Herbs
Italian oregano,Herbs
Pineappple sage,Herbs
Acorn,Nuts
Alfalfa,Herbs
Allspice,Spices
Amaranth,Herbs
Beech nut,Nuts
Butternut,Nuts
Chervil,Spices
Chinese chestnut,Nuts
Dock,Herbs
European chestnut,Nuts
Fireweed,Herbs
Hazelnut,Nuts
Hickory nut,Nuts
Japanese chestnut,Nuts
White mustard,Spices
Pili nut,Nuts
Colorado pinyon,Nuts
Opium poppy,Spices
Rose hip,Herbs
Roselle,Herbs
Teff,Herbs
Wasabi,Spices
Tea leaf willow,Herbs
Macadamia nut,Nuts
Epazote,Herbs
Sourdock,Herbs
Cinnamon,Spices
Walnut,Nuts
Vinegar,Seasonings
Salad dressing,Dressings
Sauce,Sauces
Salt,Seasonings
Mustard,Condiments
Remoulade,Condiments
Ketchup,Condiments
Adobo,Seasonings
Relish,Condiments
Mixed nuts,Nuts
Yellow pond-lily,Herbs
Soft-necked garlic,Herbs
Herbs and Spices,Herbs and Spices
Nuts,Nuts
